date,employment_rate_16_64,percent_employees_16_64,percent_self_employed_16_64,unemployment_rate_16_plus,percent_econ_inactive_16_64,percent_econ_inactive_want_job,unemployment_rate_ethnic_minority_16_plus
Jan 2016-Dec 2016,212400.0,191600.0,19900.0,16600.0,101800.0,18100.0,3400.0
Apr 2016-Mar 2017,215000.0,192100.0,22600.0,17000.0,99500.0,15900.0,4300.0
Jul 2016-Jun 2017,217200.0,194600.0,22600.0,14600.0,99700.0,17200.0,3000.0
Oct 2016-Sep 2017,219100.0,193500.0,25000.0,13400.0,98700.0,15400.0,4000.0
Jan 2017-Dec 2017,222500.0,197400.0,24600.0,14200.0,95600.0,15500.0,3400.0
Apr 2017-Mar 2018,224300.0,199400.0,24300.0,13000.0,95100.0,14500.0,3000.0
Jul 2017-Jun 2018,224500.0,201700.0,22200.0,11600.0,96200.0,12100.0,2500.0
Oct 2017-Sep 2018,229200.0,206900.0,22300.0,11500.0,92700.0,15000.0,1300.0
Jan 2018-Dec 2018,226900.0,203200.0,23200.0,9900.0,96100.0,15800.0,1900.0
Apr 2018-Mar 2019,221600.0,200100.0,20600.0,9700.0,101400.0,17400.0,1300.0
Jul 2018-Jun 2019,225500.0,200500.0,24200.0,10900.0,97300.0,20800.0,1400.0
Oct 2018-Sep 2019,226500.0,200200.0,25400.0,10000.0,96800.0,19700.0,1500.0
Jan 2019-Dec 2019,224600.0,194900.0,29000.0,11100.0,98000.0,20200.0,2100.0
Apr 2019-Mar 2020,230000.0,202900.0,26700.0,9700.0,93300.0,21000.0,2100.0
Jul 2019-Jun 2020,230200.0,206900.0,22900.0,9400.0,93000.0,19600.0,2300.0
Oct 2019-Sep 2020,230600.0,209500.0,20300.0,12800.0,90000.0,18900.0,3100.0
Jan 2020-Dec 2020,239000.0,220600.0,18000.0,10600.0,84500.0,17300.0,
Apr 2020-Mar 2021,239900.0,220600.0,18900.0,14600.0,79900.0,13700.0,3300.0
Jul 2020-Jun 2021,243200.0,224600.0,18300.0,16500.0,74000.0,10800.0,3600.0
Oct 2020-Sep 2021,246100.0,225000.0,20700.0,14700.0,72600.0,8900.0,2900.0
Jan 2021-Dec 2021,243600.0,222600.0,20500.0,15700.0,74400.0,9200.0,2200.0
Apr 2021-Mar 2022,247000.0,223700.0,23000.0,11200.0,74400.0,15700.0,
Jul 2021-Jun 2022,247400.0,226300.0,20600.0,8500.0,77000.0,15200.0,
Oct 2021-Sep 2022,235700.0,214000.0,21700.0,6400.0,92200.0,16300.0,
Jan 2022-Dec 2022,232400.0,207900.0,24400.0,6400.0,93300.0,19100.0,
Apr 2022-Mar 2023,232800.0,209600.0,23100.0,10600.0,92300.0,14600.0,3900.0
Jul 2022-Jun 2023,227900.0,200300.0,26600.0,14400.0,93300.0,13500.0,5500.0
Oct 2022-Sep 2023,233600.0,209300.0,23200.0,15800.0,85500.0,16600.0,5400.0
Jan 2023-Dec 2023,226500.0,207600.0,17800.0,21700.0,87500.0,14800.0,7500.0
